 Throughput Test - Thu Jan 26 11:52:12 2012

--------------------------------------------------------------------------------
File: C:\Projects\Bitwise\QuickUSB\Library\Software\QuickUsbThroughputTest\Logs\Windows-Simple IO Streaming Write.txt
Program Compiled As: x86
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
1024	3.7704	7.7526	7.7831	7.7997
2048	5.1916	7.8157	7.9590	8.1111
4096	6.2382	11.8667	11.9011	11.9648
8192	7.8033	12.4887	12.5354	12.5201
16384	8.3333	12.8206	12.9138	12.9198
32768	8.6225	13.0931	13.0837	13.0880
65536	8.9604	13.1757	13.1740	13.1812
131072	9.1190	12.9347	13.2116	13.2189
262144	9.1813	13.1850	13.1905	13.1992
524288	9.2571	13.1023	13.1157	13.1479
1048576	9.2792	12.9281	12.9857	13.0673
Processing Rate: 100.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0601	0.0604	0.0609	0.0610
16	0.1203	0.1220	0.1220	0.1220
32	0.2411	0.2417	0.2360	0.2346
64	0.4816	0.4875	0.4877	0.4874
128	0.9645	0.9740	0.9759	0.9754
256	1.8677	1.9375	1.9400	1.9522
512	1.9499	3.8828	3.9028	3.9043
1024	3.8865	6.6405	7.7292	7.7310
2048	5.1893	7.8689	8.0546	8.0138
4096	6.2012	9.1619	9.1315	9.1464
8192	6.6824	9.5398	9.5390	9.5393
16384	6.9339	9.7631	9.7518	9.7652
32768	7.1408	9.8672	9.8678	9.8664
65536	7.3395	9.8984	9.9020	9.9055
131072	7.4198	9.9113	9.9022	9.9139
262144	7.4693	9.8947	9.9004	9.9105
524288	7.5184	9.8322	9.8497	9.8761
1048576	7.5210	9.7204	9.7614	9.8224
