 Throughput Test - Thu Jan 26 11:29:29 2012

--------------------------------------------------------------------------------
File: C:\Projects\Bitwise\QuickUSB\Library\Software\QuickUsbThroughputTest\Logs\Windows-Simple IO Streaming Read.txt
Program Compiled As: x86
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
1024	1.9463	2.2019	2.1918	2.2052
2048	3.1236	3.9060	3.9060	3.9060
4096	4.9436	7.8038	7.7971	7.8071
8192	6.2405	12.2702	12.4921	12.4938
16384	7.8079	12.7347	12.7502	12.7638
32768	8.6130	13.0081	13.0090	13.0125
65536	9.1824	13.1399	13.1380	13.1460
131072	9.4693	13.1915	13.1908	13.1877
262144	9.6361	13.1868	13.1917	13.1968
524288	9.5467	13.1047	13.1311	13.1683
1048576	9.6841	12.9769	13.0279	13.0906
Processing Rate: 100.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0181	0.0183	0.0181	0.0187
16	0.0362	0.0374	0.0367	0.0366
32	0.0695	0.0740	0.0746	0.0755
64	0.1326	0.1501	0.1449	0.1475
128	0.2432	0.2903	0.2970	0.3034
256	0.4881	0.5506	0.5928	0.5643
512	0.9757	1.2016	1.1710	1.1595
1024	1.9457	2.1887	2.1924	2.1815
2048	3.1081	3.8882	3.9057	3.9009
4096	4.2855	7.7750	7.7992	7.7984
8192	5.6565	9.3543	9.3533	9.3453
16384	6.5650	9.6285	9.5997	9.6400
32768	7.1397	9.8086	9.3598	9.8156
65536	7.4616	9.8827	9.8845	9.8864
131072	7.6683	9.9076	9.9096	9.9125
262144	7.7674	9.8988	9.9001	9.9147
524288	7.7731	9.8473	9.8621	9.8877
1048576	7.8010	9.7565	9.7928	9.8476
