 Throughput Test - Thu Jan 26 12:08:01 2012

--------------------------------------------------------------------------------
File: /Projects/Bitwise/QuickUSB/Library/Software/QuickUsbThroughputTest/Logs/Linux-Simple IO Streaming Write.txt
Program Compiled As: x64
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
1024	7.7903	10.4139	12.8590	12.8656
2048	7.8121	12.4960	13.0744	13.0756
4096	7.8052	13.2062	13.2064	13.1360
8192	8.9265	13.2600	13.2604	13.2611
16384	8.9269	13.2892	13.2893	13.2883
32768	9.3448	13.2970	13.2951	13.2977
65536	9.4554	13.2908	13.2913	13.2925
131072	9.5130	13.2697	13.2725	13.2740
262144	9.5610	13.2246	13.2304	13.2389
524288	9.5877	13.1401	13.1538	13.1751
1048576	9.5931	12.9816	13.0255	13.0836
Processing Rate: 100.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0610	0.1221	0.2441	0.4882
16	0.1220	0.2441	0.4882	0.9764
32	0.2432	0.4882	0.9764	1.9528
64	0.4883	0.9761	1.9529	3.9049
128	0.9743	1.9530	3.9060	7.3829
256	1.9513	3.9056	6.8871	9.0244
512	3.9050	5.8589	9.4838	9.4854
1024	3.9062	7.7892	9.7314	9.7343
2048	5.2033	9.8626	9.8619	9.8628
4096	6.2497	9.9279	9.9280	9.9248
8192	6.9441	9.9585	9.9589	9.9579
16384	7.3523	9.9719	9.9719	9.9723
32768	7.5746	9.9770	9.9769	9.9774
65536	7.6855	9.9711	9.9718	9.9728
131072	7.6817	9.9541	9.9567	9.9593
262144	7.7135	9.9214	9.9264	9.9327
524288	7.7335	9.8580	9.8705	9.8904
1048576	7.7384	9.7560	9.7864	9.8382
