 Throughput Test - Thu Jan 26 11:44:51 2012

--------------------------------------------------------------------------------
File: /Projects/Bitwise/QuickUSB/Library/Software/QuickUsbThroughputTest/Logs/Mac-Simple IO Streaming Read.txt
Program Compiled As: x64
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
1024	1.9297	2.1632	2.1689	2.1825
2048	3.1165	3.8965	3.9041	3.9022
4096	5.0570	6.2393	6.2468	6.2395
8192	6.6243	8.2891	8.3061	8.3102
16384	7.9642	10.4127	10.3801	10.4010
32768	8.9172	11.5156	11.5020	11.5377
65536	9.5351	12.3312	12.3334	12.3526
131072	9.7965	12.7683	12.8026	12.8388
262144	9.9788	12.9884	12.9914	13.0369
524288	10.0544	13.0359	13.0683	13.1187
1048576	10.1038	12.9826	13.0426	13.1303
Processing Rate: 100.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0152	0.0203	0.0203	0.0203
16	0.0305	0.0405	0.0406	0.0407
32	0.0608	0.0811	0.0811	0.0812
64	0.1218	0.1583	0.1602	0.1605
128	0.2436	0.3220	0.3195	0.3013
256	0.4866	0.6207	0.6183	0.6176
512	0.9574	1.0465	1.0496	1.0828
1024	1.6774	1.9506	1.9499	1.9514
2048	2.7557	3.3729	3.3619	3.4267
4096	4.1790	5.1924	5.2085	5.2130
8192	5.6624	6.8781	6.8498	6.8447
16384	6.5712	8.0412	8.0450	8.0532
32768	7.3128	8.9205	8.9349	8.9408
65536	7.6889	9.4189	9.4380	9.4457
131072	7.8735	9.6812	9.6953	9.7232
262144	7.9782	9.7852	9.7973	9.8317
524288	8.0349	9.8104	9.8335	9.8712
1048576	8.0618	9.7636	9.8104	9.8729
