 Throughput Test - Thu Jan 26 11:46:01 2012

--------------------------------------------------------------------------------
File: /Projects/Bitwise/QuickUSB/Library/Software/QuickUsbThroughputTest/Logs/Linux-Simple IO Streaming Read.txt
Program Compiled As: x64
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
1024	1.9480	3.3478	3.3466	3.3484
2048	3.8743	5.2059	5.2109	5.2175
4096	5.1786	7.8105	7.8186	7.8230
8192	6.8697	10.4157	10.4177	10.4284
16384	8.3013	11.3422	11.3722	11.3785
32768	8.9217	12.3976	12.4344	12.4748
65536	9.4084	12.8057	12.8152	12.8352
131072	9.6173	12.9548	12.9675	12.9969
262144	9.7938	13.0853	13.0984	13.1303
524288	9.8562	13.1009	13.1226	13.1661
1048576	9.8983	13.0049	13.0539	13.1350
Processing Rate: 100.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0202	0.0278	0.0278	0.0279
16	0.0405	0.0563	0.0562	0.0563
32	0.0811	0.1125	0.1125	0.1125
64	0.1609	0.2253	0.2254	0.2247
128	0.3237	0.4468	0.4482	0.4447
256	0.6469	0.8823	0.8813	0.8798
512	1.2974	1.7370	1.7305	1.7358
1024	1.9509	3.1218	3.1256	3.1269
2048	3.1090	5.2071	5.2111	5.2142
4096	4.4595	6.2487	6.2548	6.2614
8192	5.6501	7.8146	7.8179	7.8247
16384	6.6381	8.8926	8.9337	8.9402
32768	7.3516	9.2565	9.2656	9.2768
65536	7.5763	9.6055	9.6056	9.6332
131072	7.7582	9.7786	9.7884	9.8111
262144	7.8755	9.8472	9.8496	9.8811
524288	7.9083	9.8430	9.8629	9.8945
1048576	7.9380	9.7746	9.8248	9.8682
