 Throughput Test - Fri Jan 20 15:39:31 2012

--------------------------------------------------------------------------------
Platform: Mac
Program Compiled As: x86
IO Model: Full Handshake

Packet Size (Bytes)	Throughput (MB/s)
512	3.8035
1024	6.1480
2048	5.3492
4096	6.7776
8192	9.0119
16384	10.4830
32768	11.8196
65536	12.1847
131072	12.5987
262144	12.7372
524288	12.7089
1048576	12.7170
2097152	12.7316
4194304	12.7312
8388608	12.7004
16777216	12.6681

