 Throughput Test - Fri Jan 20 12:55:09 2012

--------------------------------------------------------------------------------
Platform: Windows
Program Compiled As: x86
IO Model: Pipelined I/O 1

Packet Size (Bytes)	Throughput (MB/s)
8	0.0594
16	0.1197
32	0.2402
64	0.4800
128	0.9630
256	1.9105
512	3.8203
1024	4.0269
2048	7.5709
4096	9.1456
8192	11.7575
16384	13.8181
32768	15.8084
65536	16.7234
131072	17.0712
262144	17.4845
524288	17.5530
1048576	17.7312
2097152	17.8229
4194304	17.8773
8388608	17.9050
16777216	18.0949

