 Throughput Test - Fri Jan 20 12:28:06 2012

--------------------------------------------------------------------------------
Platform: Windows
Program Compiled As: x86
IO Model: Pipelined I/O 1

Packet Size (Bytes)	Throughput (MB/s)
8	0.0155
16	0.0314
32	0.0634
64	0.1268
128	0.2500
256	0.5008
512	0.9955
1024	1.9448
2048	3.8873
4096	5.9314
8192	9.4256
16384	13.9716
32768	18.0646
65536	21.7163
131072	24.3381
262144	25.6386
524288	26.3125
1048576	26.7603
2097152	26.9402
4194304	27.0431
8388608	27.0616
16777216	27.0613

