 Throughput Test - Fri Jan 20 15:34:21 2012

--------------------------------------------------------------------------------
Platform: Mac
Program Compiled As: x86
IO Model: Block Handshake

Packet Size (Bytes)	Throughput (MB/s)
512	0.8855
1024	1.7396
2048	3.3007
4096	5.8349
8192	9.9425
16384	15.7729
32768	21.8029
65536	28.1524
131072	31.7812
262144	34.2920
524288	34.3458
1048576	34.3195
2097152	34.3179
4194304	34.3138
8388608	34.2873
16777216	34.2781

