 Throughput Test - Fri Jan 20 15:29:11 2012

--------------------------------------------------------------------------------
Platform: Mac
Program Compiled As: x86
IO Model: FIFO Handshake

Packet Size (Bytes)	Throughput (MB/s)
512	3.8309
1024	6.8234
2048	5.6216
4096	10.5847
8192	13.3701
16384	17.8314
32768	20.8890
65536	23.8197
131072	24.5693
262144	25.2921
524288	25.1960
1048576	25.1716
2097152	25.2212
4194304	25.1029
8388608	25.1135
16777216	24.8687

