 Throughput Test - Fri Jan 20 15:31:49 2012

--------------------------------------------------------------------------------
Platform: Mac
Program Compiled As: x86
IO Model: FIFO Handshake

Packet Size (Bytes)	Throughput (MB/s)
512	0.8777
1024	1.7254
2048	3.0892
4096	5.5532
8192	9.1187
16384	13.6691
32768	18.1658
65536	22.0682
131072	24.3333
262144	26.1893
524288	26.2356
1048576	26.2393
2097152	26.2521
4194304	26.2159
8388608	26.2166
16777216	26.2043

