 Throughput Test - Fri Jan 20 15:41:37 2012

--------------------------------------------------------------------------------
Platform: Mac
Program Compiled As: x86
IO Model: Full Handshake

Packet Size (Bytes)	Throughput (MB/s)
512	0.8685
1024	1.5288
2048	2.7654
4096	4.4404
8192	6.6651
16384	8.6967
32768	10.3906
65536	11.3723
131072	12.0989
262144	12.5473
524288	12.5506
1048576	12.5544
2097152	12.5488
4194304	12.5533
8388608	12.5448
16777216	12.5372

