 Throughput Test - Fri Jan 20 15:36:34 2012

--------------------------------------------------------------------------------
Platform: Mac
Program Compiled As: x86
IO Model: Block Handshake

Packet Size (Bytes)	Throughput (MB/s)
512	3.8105
1024	6.7094
2048	5.7037
4096	11.5946
8192	14.9434
16384	18.9452
32768	23.2696
65536	26.7445
131072	27.5166
262144	28.4325
524288	28.4334
1048576	28.4274
2097152	28.4013
4194304	28.3815
8388608	28.2557
16777216	28.0695

