 Throughput Test - Thu Jan 26 11:36:15 2012

--------------------------------------------------------------------------------
File: /Projects/Bitwise/QuickUSB/Library/Software/QuickUsbThroughputTest/Logs/Linux-Simple IO Asynchronous Read.txt
Program Compiled As: x64
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
1024	1.9505	3.3403	3.3378	3.3251
2048	3.8544	5.1924	5.2020	5.1989
4096	5.1866	7.8088	7.8052	7.7931
8192	6.8960	10.4108	10.4065	10.3886
16384	8.2026	11.3595	11.3316	11.3522
32768	8.9287	12.4103	12.4563	12.2759
65536	9.4225	12.7996	12.8029	12.8049
131072	9.6044	12.9466	12.9537	12.9656
262144	9.7737	13.0779	13.0854	13.1002
524288	9.8506	13.0868	13.1015	13.1234
1048576	9.8895	12.9729	13.0103	13.0704
Processing Rate: 100.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0202	0.0280	0.0280	0.0281
16	0.0403	0.0562	0.0559	0.0562
32	0.0809	0.1124	0.1119	0.1120
64	0.1624	0.2250	0.2248	0.2242
128	0.3243	0.4446	0.4443	0.4420
256	0.6473	0.8775	0.8778	0.8746
512	1.2937	1.7492	1.7553	1.7498
1024	1.9502	3.1186	2.9929	2.9520
2048	3.0857	5.1975	5.1938	5.1988
4096	4.4446	6.2497	6.2488	6.2475
8192	5.6404	7.8109	7.8094	7.8007
16384	6.5350	8.9240	8.9251	8.9185
32768	7.2851	9.2372	9.2568	9.2569
65536	7.5672	9.6009	9.6059	9.6049
131072	7.7527	9.7738	9.7780	9.7880
262144	7.8515	9.8401	9.8474	9.8592
524288	7.9040	9.8312	9.8445	9.8646
1048576	7.9273	9.7481	9.7832	9.8305
