 Throughput Test - Thu Jan 26 11:19:40 2012

--------------------------------------------------------------------------------
File: C:\Projects\Bitwise\QuickUSB\Library\Software\QuickUsbThroughputTest\Logs\Windows-Simple IO Asynchronous Read.txt
Program Compiled As: x86
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
1024	1.9353	1.9443	1.9542	1.9540
2048	3.0973	3.8906	3.9043	3.8981
4096	4.4391	7.7415	7.7794	7.7959
8192	6.2458	12.2399	12.4929	12.4931
16384	7.7061	12.7054	12.6640	12.7263
32768	8.6210	12.9764	12.9966	13.0052
65536	9.2531	13.1258	13.1292	13.1139
131072	9.5158	13.1788	13.1744	13.1677
262144	9.5930	13.1617	13.1706	13.1868
524288	9.6870	13.1085	13.1192	13.1462
1048576	9.7496	12.9408	13.0001	13.0677
Processing Rate: 100.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0152	0.0156	0.0154	0.0151
16	0.0261	0.0311	0.0310	0.0313
32	0.0592	0.0609	0.0615	0.0616
64	0.1230	0.1210	0.1213	0.1226
128	0.2377	0.2482	0.2446	0.2415
256	0.4829	0.4935	0.4954	0.4950
512	0.9676	0.9825	0.9844	0.9809
1024	1.7961	1.9332	1.9530	1.9494
2048	3.0136	3.8837	3.6687	3.8969
4096	4.1401	7.7707	7.8048	7.7942
8192	5.6470	9.3043	9.3477	9.2826
16384	6.4901	9.6259	9.6442	9.6170
32768	7.1390	9.7957	9.7987	9.7825
65536	7.4591	9.8653	9.8753	9.8794
131072	7.6818	9.8989	9.9049	9.9061
262144	7.7626	9.8920	9.8961	9.9009
524288	7.8163	9.8391	9.8500	9.8743
1048576	7.8544	9.7355	9.7719	9.8250
