 Throughput Test - Thu Jan 26 11:42:24 2012

--------------------------------------------------------------------------------
File: C:\Projects\Bitwise\QuickUSB\Library\Software\QuickUsbThroughputTest\Logs\Windows-Simple IO Asynchronous Write.txt
Program Compiled As: x86
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
1024	1.9494	1.9555	1.9557	1.9584
2048	3.1219	3.9073	3.9044	3.9107
4096	4.7265	7.8104	7.8161	7.8222
8192	6.5360	12.4009	12.4977	12.5147
16384	7.7969	12.7155	12.7206	12.7317
32768	8.9269	13.0052	13.0048	13.0132
65536	9.4314	13.1338	13.1077	13.1379
131072	9.7934	13.1834	13.1848	13.1908
262144	9.9296	13.1665	13.1697	13.1807
524288	10.0035	13.0786	13.0996	13.1246
1048576	9.9909	12.8892	12.9451	12.9762
Processing Rate: 100.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0155	0.0152	0.0153	0.0153
16	0.0304	0.0306	0.0306	0.0307
32	0.0609	0.0612	0.0608	0.0609
64	0.1219	0.1223	0.1224	0.1221
128	0.2428	0.2443	0.2443	0.2469
256	0.4857	0.4948	0.4950	0.4953
512	0.9750	0.9783	0.9797	0.9807
1024	1.6764	1.9551	1.9532	1.9549
2048	2.9207	3.9071	3.9095	3.9129
4096	4.2747	7.8022	7.8136	7.8041
8192	5.6691	9.3440	9.3538	9.3553
16384	6.5781	9.6553	9.6445	9.6519
32768	7.1412	9.8083	9.8075	9.8005
65536	7.4592	9.8782	9.8813	9.8833
131072	7.6803	9.8972	9.8997	9.9054
262144	7.7643	9.8736	9.8810	9.8916
524288	7.8460	9.8132	9.8332	9.8544
1048576	7.8350	9.6834	9.7296	9.7969
