 Throughput Test - Thu Jan 26 11:58:15 2012

--------------------------------------------------------------------------------
File: /Projects/Bitwise/QuickUSB/Library/Software/QuickUsbThroughputTest/Logs/Linux-Simple IO Asynchronous Write.txt
Program Compiled As: x64
IO Model: Simple IO
NumThreads: 0
Concurrency: 0

Processing Rate: 0.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
1024	1.9449	3.3211	3.3497	3.3505
2048	3.8890	5.2100	5.2111	5.2139
4096	5.1736	7.8136	7.8140	7.8136
8192	6.9351	10.4121	10.4142	10.4068
16384	8.1788	11.3609	11.3415	11.3466
32768	8.9287	12.3758	12.4193	12.3877
65536	9.4190	12.7980	12.7857	12.7056
131072	9.5983	12.9403	12.9036	12.7528
262144	9.7617	13.0605	13.0035	12.6870
524288	9.8312	13.0486	12.9736	12.4306
1048576	9.8481	12.8968	12.8470	11.9710
Processing Rate: 100.0000 MS/MB
Request Size (Bytes)	'1 Buffers	'2 Buffers	'4 Buffers	'8 Buffers
8	0.0201	0.0277	0.0277	0.0278
16	0.0406	0.0550	0.0555	0.0555
32	0.0812	0.1105	0.1109	0.1111
64	0.1619	0.2240	0.2255	0.2247
128	0.3234	0.4434	0.4445	0.4451
256	0.6476	0.8631	0.8683	0.8688
512	1.2908	1.7524	1.7435	1.7561
1024	1.9402	3.1205	2.9838	2.9709
2048	3.1126	5.2085	5.1684	5.2105
4096	4.4608	6.2505	6.2480	6.2561
8192	5.6518	7.8021	7.8095	7.8113
16384	6.5481	8.9150	8.9062	8.9141
32768	7.3528	9.2510	9.2569	9.2355
65536	7.5690	9.5997	9.6046	9.5499
131072	7.7315	9.7702	9.7745	9.6589
262144	7.8467	9.8295	9.8284	9.6141
524288	7.8863	9.8025	9.8173	9.4724
1048576	7.8931	9.6923	9.7457	9.2129
